country,plot_name,date,value
Portugal  April 5. 2020,Retail & recreation,2020-02-23,8.275
Portugal  April 5. 2020,Retail & recreation,2020-02-24,18.48
Portugal  April 5. 2020,Retail & recreation,2020-02-25,-2.205
Portugal  April 5. 2020,Retail & recreation,2020-02-26,-0.042
Portugal  April 5. 2020,Retail & recreation,2020-02-27,4.438
Portugal  April 5. 2020,Retail & recreation,2020-02-28,2.092
Portugal  April 5. 2020,Retail & recreation,2020-02-29,-0.124
Portugal  April 5. 2020,Retail & recreation,2020-03-01,-7.574
Portugal  April 5. 2020,Retail & recreation,2020-03-02,2.546
Portugal  April 5. 2020,Retail & recreation,2020-03-03,-0.661
Portugal  April 5. 2020,Retail & recreation,2020-03-04,2.163
Portugal  April 5. 2020,Retail & recreation,2020-03-05,3.008
Portugal  April 5. 2020,Retail & recreation,2020-03-06,0.063
Portugal  April 5. 2020,Retail & recreation,2020-03-07,3.202
Portugal  April 5. 2020,Retail & recreation,2020-03-08,-0.928
Portugal  April 5. 2020,Retail & recreation,2020-03-09,-0.041
Portugal  April 5. 2020,Retail & recreation,2020-03-10,0.136
Portugal  April 5. 2020,Retail & recreation,2020-03-11,-1.208
Portugal  April 5. 2020,Retail & recreation,2020-03-12,-8.668
Portugal  April 5. 2020,Retail & recreation,2020-03-13,-26.627
Portugal  April 5. 2020,Retail & recreation,2020-03-14,-47.352
Portugal  April 5. 2020,Retail & recreation,2020-03-15,-62.332
Portugal  April 5. 2020,Retail & recreation,2020-03-16,-49.786
Portugal  April 5. 2020,Retail & recreation,2020-03-17,-54.014
Portugal  April 5. 2020,Retail & recreation,2020-03-18,-54.89
Portugal  April 5. 2020,Retail & recreation,2020-03-19,-66.704
Portugal  April 5. 2020,Retail & recreation,2020-03-20,-77.158
Portugal  April 5. 2020,Retail & recreation,2020-03-21,-80.509
Portugal  April 5. 2020,Retail & recreation,2020-03-22,-82.934
Portugal  April 5. 2020,Retail & recreation,2020-03-23,-73.676
Portugal  April 5. 2020,Retail & recreation,2020-03-24,-73.481
Portugal  April 5. 2020,Retail & recreation,2020-03-25,-73.704
Portugal  April 5. 2020,Retail & recreation,2020-03-26,-73.992
Portugal  April 5. 2020,Retail & recreation,2020-03-27,-75.02
Portugal  April 5. 2020,Retail & recreation,2020-03-28,-79.246
Portugal  April 5. 2020,Retail & recreation,2020-03-29,-83.367
Portugal  April 5. 2020,Retail & recreation,2020-03-30,-74.437
Portugal  April 5. 2020,Retail & recreation,2020-03-31,-71.818
Portugal  April 5. 2020,Retail & recreation,2020-04-01,-72.795
Portugal  April 5. 2020,Retail & recreation,2020-04-02,-70.204
Portugal  April 5. 2020,Retail & recreation,2020-04-03,-72.444
Portugal  April 5. 2020,Retail & recreation,2020-04-04,-78.013
Portugal  April 5. 2020,Retail & recreation,2020-04-05,-84.19
Portugal  April 5. 2020,Grocery & pharmacy,2020-02-23,4.574
Portugal  April 5. 2020,Grocery & pharmacy,2020-02-24,12.275
Portugal  April 5. 2020,Grocery & pharmacy,2020-02-25,-0.072
Portugal  April 5. 2020,Grocery & pharmacy,2020-02-26,3.941
Portugal  April 5. 2020,Grocery & pharmacy,2020-02-27,5.498
Portugal  April 5. 2020,Grocery & pharmacy,2020-02-28,9.576
Portugal  April 5. 2020,Grocery & pharmacy,2020-02-29,6.7
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-01,2.61
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-02,8.839
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-03,6.925
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-04,7.079
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-05,8.023
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-06,6.94
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-07,4.29
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-08,5.738
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-09,11.284
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-10,17.036
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-11,26.285
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-12,28.197
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-13,22.829
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-14,-9.55
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-15,-32.525
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-16,-15.872
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-17,-19.608
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-18,-18.846
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-19,-35.982
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-20,-41.568
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-21,-47.583
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-22,-57.533
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-23,-42.454
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-24,-40.17
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-25,-41.519
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-26,-42.155
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-27,-38.855
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-28,-46.761
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-29,-59.402
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-30,-44.545
Portugal  April 5. 2020,Grocery & pharmacy,2020-03-31,-36.019
Portugal  April 5. 2020,Grocery & pharmacy,2020-04-01,-39.749
Portugal  April 5. 2020,Grocery & pharmacy,2020-04-02,-35.452
Portugal  April 5. 2020,Grocery & pharmacy,2020-04-03,-33.957
Portugal  April 5. 2020,Grocery & pharmacy,2020-04-04,-43.838
Portugal  April 5. 2020,Grocery & pharmacy,2020-04-05,-59.567
Portugal  April 5. 2020,Parks,2020-02-23,54.686
Portugal  April 5. 2020,Parks,2020-02-24,79.563
Portugal  April 5. 2020,Parks,2020-02-25,33.181
Portugal  April 5. 2020,Parks,2020-02-26,24.68
Portugal  April 5. 2020,Parks,2020-02-27,26.813
Portugal  April 5. 2020,Parks,2020-02-28,24.537
Portugal  April 5. 2020,Parks,2020-02-29,-4.943
Portugal  April 5. 2020,Parks,2020-03-01,-33.082
Portugal  April 5. 2020,Parks,2020-03-02,8.134
Portugal  April 5. 2020,Parks,2020-03-03,-2.602
Portugal  April 5. 2020,Parks,2020-03-04,15.276
Portugal  April 5. 2020,Parks,2020-03-05,13.746
Portugal  April 5. 2020,Parks,2020-03-06,13.823
Portugal  April 5. 2020,Parks,2020-03-07,27.201
Portugal  April 5. 2020,Parks,2020-03-08,-4.487
Portugal  April 5. 2020,Parks,2020-03-09,20.732
Portugal  April 5. 2020,Parks,2020-03-10,19.959
Portugal  April 5. 2020,Parks,2020-03-11,28.692
Portugal  April 5. 2020,Parks,2020-03-12,10.248
Portugal  April 5. 2020,Parks,2020-03-13,-10.106
Portugal  April 5. 2020,Parks,2020-03-14,-31.485
Portugal  April 5. 2020,Parks,2020-03-15,-58.257
Portugal  April 5. 2020,Parks,2020-03-16,-39.887
Portugal  April 5. 2020,Parks,2020-03-17,-44.407
Portugal  April 5. 2020,Parks,2020-03-18,-38.331
Portugal  April 5. 2020,Parks,2020-03-19,-53.139
Portugal  April 5. 2020,Parks,2020-03-20,-69.614
Portugal  April 5. 2020,Parks,2020-03-21,-71.325
Portugal  April 5. 2020,Parks,2020-03-22,-72.272
Portugal  April 5. 2020,Parks,2020-03-23,-59.464
Portugal  April 5. 2020,Parks,2020-03-24,-59.714
Portugal  April 5. 2020,Parks,2020-03-25,-58.633
Portugal  April 5. 2020,Parks,2020-03-26,-60.22
Portugal  April 5. 2020,Parks,2020-03-27,-62.911
Portugal  April 5. 2020,Parks,2020-03-28,-72.37
Portugal  April 5. 2020,Parks,2020-03-29,-79.957
Portugal  April 5. 2020,Parks,2020-03-30,-70.947
Portugal  April 5. 2020,Parks,2020-03-31,-68.321
Portugal  April 5. 2020,Parks,2020-04-01,-67.254
Portugal  April 5. 2020,Parks,2020-04-02,-57.319
Portugal  April 5. 2020,Parks,2020-04-03,-60.833
Portugal  April 5. 2020,Parks,2020-04-04,-77.581
Portugal  April 5. 2020,Parks,2020-04-05,-87.602
Portugal  April 5. 2020,Transit stations,2020-02-23,15.838
Portugal  April 5. 2020,Transit stations,2020-02-24,-2.61
Portugal  April 5. 2020,Transit stations,2020-02-25,-24.513
Portugal  April 5. 2020,Transit stations,2020-02-26,2.083
Portugal  April 5. 2020,Transit stations,2020-02-27,5.686
Portugal  April 5. 2020,Transit stations,2020-02-28,6.324
Portugal  April 5. 2020,Transit stations,2020-02-29,2.992
Portugal  April 5. 2020,Transit stations,2020-03-01,-1.345
Portugal  April 5. 2020,Transit stations,2020-03-02,4.015
Portugal  April 5. 2020,Transit stations,2020-03-03,1.262
Portugal  April 5. 2020,Transit stations,2020-03-04,5.099
Portugal  April 5. 2020,Transit stations,2020-03-05,4.698
Portugal  April 5. 2020,Transit stations,2020-03-06,4.884
Portugal  April 5. 2020,Transit stations,2020-03-07,7.251
Portugal  April 5. 2020,Transit stations,2020-03-08,1.409
Portugal  April 5. 2020,Transit stations,2020-03-09,0.296
Portugal  April 5. 2020,Transit stations,2020-03-10,-0.029
Portugal  April 5. 2020,Transit stations,2020-03-11,-1.23
Portugal  April 5. 2020,Transit stations,2020-03-12,-10.868
Portugal  April 5. 2020,Transit stations,2020-03-13,-23.856
Portugal  April 5. 2020,Transit stations,2020-03-14,-32.911
Portugal  April 5. 2020,Transit stations,2020-03-15,-45.731
Portugal  April 5. 2020,Transit stations,2020-03-16,-50.927
Portugal  April 5. 2020,Transit stations,2020-03-17,-56.081
Portugal  April 5. 2020,Transit stations,2020-03-18,-56.958
Portugal  April 5. 2020,Transit stations,2020-03-19,-67.894
Portugal  April 5. 2020,Transit stations,2020-03-20,-73.411
Portugal  April 5. 2020,Transit stations,2020-03-21,-71.498
Portugal  April 5. 2020,Transit stations,2020-03-22,-74.397
Portugal  April 5. 2020,Transit stations,2020-03-23,-74.189
Portugal  April 5. 2020,Transit stations,2020-03-24,-73.984
Portugal  April 5. 2020,Transit stations,2020-03-25,-74.432
Portugal  April 5. 2020,Transit stations,2020-03-26,-75.45
Portugal  April 5. 2020,Transit stations,2020-03-27,-75.461
Portugal  April 5. 2020,Transit stations,2020-03-28,-73.912
Portugal  April 5. 2020,Transit stations,2020-03-29,-78.389
Portugal  April 5. 2020,Transit stations,2020-03-30,-77.571
Portugal  April 5. 2020,Transit stations,2020-03-31,-74.793
Portugal  April 5. 2020,Transit stations,2020-04-01,-75.988
Portugal  April 5. 2020,Transit stations,2020-04-02,-74.049
Portugal  April 5. 2020,Transit stations,2020-04-03,-74.711
Portugal  April 5. 2020,Transit stations,2020-04-04,-75.264
Portugal  April 5. 2020,Transit stations,2020-04-05,-82.348
Portugal  April 5. 2020,Workplaces,2020-02-23,1.061
Portugal  April 5. 2020,Workplaces,2020-02-24,-27.745
Portugal  April 5. 2020,Workplaces,2020-02-25,-65.39
Portugal  April 5. 2020,Workplaces,2020-02-26,-12.6
Portugal  April 5. 2020,Workplaces,2020-02-27,0.427
Portugal  April 5. 2020,Workplaces,2020-02-28,0.765
Portugal  April 5. 2020,Workplaces,2020-02-29,1.026
Portugal  April 5. 2020,Workplaces,2020-03-01,-0.479
Portugal  April 5. 2020,Workplaces,2020-03-02,3.495
Portugal  April 5. 2020,Workplaces,2020-03-03,2.654
Portugal  April 5. 2020,Workplaces,2020-03-04,2.453
Portugal  April 5. 2020,Workplaces,2020-03-05,2.293
Portugal  April 5. 2020,Workplaces,2020-03-06,1.78
Portugal  April 5. 2020,Workplaces,2020-03-07,1.7
Portugal  April 5. 2020,Workplaces,2020-03-08,1.317
Portugal  April 5. 2020,Workplaces,2020-03-09,1.935
Portugal  April 5. 2020,Workplaces,2020-03-10,1.048
Portugal  April 5. 2020,Workplaces,2020-03-11,-0.347
Portugal  April 5. 2020,Workplaces,2020-03-12,-4.256
Portugal  April 5. 2020,Workplaces,2020-03-13,-10.97
Portugal  April 5. 2020,Workplaces,2020-03-14,-15.473
Portugal  April 5. 2020,Workplaces,2020-03-15,-23.17
Portugal  April 5. 2020,Workplaces,2020-03-16,-40.881
Portugal  April 5. 2020,Workplaces,2020-03-17,-47.654
Portugal  April 5. 2020,Workplaces,2020-03-18,-50.597
Portugal  April 5. 2020,Workplaces,2020-03-19,-57.419
Portugal  April 5. 2020,Workplaces,2020-03-20,-60.412
Portugal  April 5. 2020,Workplaces,2020-03-21,-55.346
Portugal  April 5. 2020,Workplaces,2020-03-22,-51.401
Portugal  April 5. 2020,Workplaces,2020-03-23,-61.702
Portugal  April 5. 2020,Workplaces,2020-03-24,-63.055
Portugal  April 5. 2020,Workplaces,2020-03-25,-63.314
Portugal  April 5. 2020,Workplaces,2020-03-26,-63.954
Portugal  April 5. 2020,Workplaces,2020-03-27,-63.31
Portugal  April 5. 2020,Workplaces,2020-03-28,-55.335
Portugal  April 5. 2020,Workplaces,2020-03-29,-52.654
Portugal  April 5. 2020,Workplaces,2020-03-30,-63.174
Portugal  April 5. 2020,Workplaces,2020-03-31,-63.663
Portugal  April 5. 2020,Workplaces,2020-04-01,-64.212
Portugal  April 5. 2020,Workplaces,2020-04-02,-64.215
Portugal  April 5. 2020,Workplaces,2020-04-03,-63.603
Portugal  April 5. 2020,Workplaces,2020-04-04,-55.479
Portugal  April 5. 2020,Workplaces,2020-04-05,-54.952
Portugal  April 5. 2020,Residential,2020-02-23,-3.852
Portugal  April 5. 2020,Residential,2020-02-24,3.486
Portugal  April 5. 2020,Residential,2020-02-25,15.859
Portugal  April 5. 2020,Residential,2020-02-26,2.298
Portugal  April 5. 2020,Residential,2020-02-27,-0.453
Portugal  April 5. 2020,Residential,2020-02-28,-1.01
Portugal  April 5. 2020,Residential,2020-02-29,0.543
Portugal  April 5. 2020,Residential,2020-03-01,2.195
Portugal  April 5. 2020,Residential,2020-03-02,0.041
Portugal  April 5. 2020,Residential,2020-03-03,0.183
Portugal  April 5. 2020,Residential,2020-03-04,-0.437
Portugal  April 5. 2020,Residential,2020-03-05,-0.451
Portugal  April 5. 2020,Residential,2020-03-06,-0.776
Portugal  April 5. 2020,Residential,2020-03-07,-1.251
Portugal  April 5. 2020,Residential,2020-03-08,-0.038
Portugal  April 5. 2020,Residential,2020-03-09,0.555
Portugal  April 5. 2020,Residential,2020-03-10,0.431
Portugal  April 5. 2020,Residential,2020-03-11,0.793
Portugal  April 5. 2020,Residential,2020-03-12,3.569
Portugal  April 5. 2020,Residential,2020-03-13,8.949
Portugal  April 5. 2020,Residential,2020-03-14,12.923
Portugal  April 5. 2020,Residential,2020-03-15,14.79
Portugal  April 5. 2020,Residential,2020-03-16,21.89
Portugal  April 5. 2020,Residential,2020-03-17,24.173
Portugal  April 5. 2020,Residential,2020-03-18,24.455
Portugal  April 5. 2020,Residential,2020-03-19,29.749
Portugal  April 5. 2020,Residential,2020-03-20,35.838
Portugal  April 5. 2020,Residential,2020-03-21,25.655
Portugal  April 5. 2020,Residential,2020-03-22,21.566
Portugal  April 5. 2020,Residential,2020-03-23,32.393
Portugal  April 5. 2020,Residential,2020-03-24,32.727
Portugal  April 5. 2020,Residential,2020-03-25,32.378
Portugal  April 5. 2020,Residential,2020-03-26,33.379
Portugal  April 5. 2020,Residential,2020-03-27,36.235
Portugal  April 5. 2020,Residential,2020-03-28,25.078
Portugal  April 5. 2020,Residential,2020-03-29,21.795
Portugal  April 5. 2020,Residential,2020-03-30,33.339
Portugal  April 5. 2020,Residential,2020-03-31,32.906
Portugal  April 5. 2020,Residential,2020-04-01,32.929
Portugal  April 5. 2020,Residential,2020-04-02,32.716
Portugal  April 5. 2020,Residential,2020-04-03,35.517
Portugal  April 5. 2020,Residential,2020-04-04,25.199
Portugal  April 5. 2020,Residential,2020-04-05,23.166
